"dist","scenario","n","rep","scheme","i","j","entry","ref","num","err","err_type"
"poisson","lambda_grande",100,1,"C_richardson",1,1,"J_u[1,1]",79774,79774.0000135292,1.69594003988793e-10,"rel"
"poisson","lambda_grande",100,2,"A",1,1,"J_u[1,1]",79797,79797.0044244689,5.5446556588537e-08,"rel"
"poisson","lambda_grande",100,2,"B",1,1,"J_u[1,1]",79797,79797.0011530082,1.44492671194458e-08,"rel"
"poisson","lambda_grande",100,2,"C_richardson",1,1,"J_u[1,1]",79797,79797.0000082556,1.03457247709085e-10,"rel"
"poisson","lambda_grande",100,3,"A",1,1,"J_u[1,1]",80148,80148.0044476419,5.54928624860716e-08,"rel"
"poisson","lambda_grande",100,3,"B",1,1,"J_u[1,1]",80148,80147.9990399631,1.19783013170297e-08,"rel"
"poisson","lambda_grande",100,3,"C_richardson",1,1,"J_u[1,1]",80148,80147.9999936526,7.91956230926646e-11,"rel"
"poisson","lambda_grande",1000,1,"A",1,1,"J_u[1,1]",799478,799478.044340004,5.54611931128724e-08,"rel"
"poisson","lambda_grande",1000,1,"B",1,1,"J_u[1,1]",799478,799477.988872782,1.39181036535905e-08,"rel"
"poisson","lambda_grande",1000,1,"C_richardson",1,1,"J_u[1,1]",799478,799477.999800244,2.49857599257235e-10,"rel"
"poisson","lambda_grande",1000,2,"A",1,1,"J_u[1,1]",798558,798558.044258807,5.54234091175233e-08,"rel"
"poisson","lambda_grande",1000,2,"B",1,1,"J_u[1,1]",798558,798557.987007748,1.6269641628169e-08,"rel"
"poisson","lambda_grande",1000,2,"C_richardson",1,1,"J_u[1,1]",798558,798558.00000072,9.01661201189634e-13,"rel"
"poisson","lambda_grande",1000,3,"A",1,1,"J_u[1,1]",798680,798680.044274696,5.5434837959837e-08,"rel"
"poisson","lambda_grande",1000,3,"B",1,1,"J_u[1,1]",798680,798679.97767595,2.79511819023303e-08,"rel"
"poisson","lambda_grande",1000,3,"C_richardson",1,1,"J_u[1,1]",798680,798680.000013167,1.648556282109e-11,"rel"
"poisson","lambda_grande",10000,1,"A",1,1,"J_u[1,1]",8000974,8000974.44083952,5.50982316394138e-08,"rel"
"poisson","lambda_grande",10000,1,"B",1,1,"J_u[1,1]",8000974,8000972.16248436,2.2966149418781e-07,"rel"
"poisson","lambda_grande",10000,1,"C_richardson",1,1,"J_u[1,1]",8000974,8000973.97967544,2.54026047574184e-09,"rel"
"poisson","lambda_grande",10000,2,"A",1,1,"J_u[1,1]",8000005,8000005.45000324,5.62503702249523e-08,"rel"
"poisson","lambda_grande",10000,2,"B",1,1,"J_u[1,1]",8000005,8000006.61724156,2.02155069178929e-07,"rel"
