"dist","scenario","n","scheme","mle_converged","valid","reason","rcond","chol_ok","asym","eig_min","eig_max","step_stability","scale_stability","se_1","se_2","se_3"
"gamma","shape_bajo",1000,"B",TRUE,TRUE,NA,0.121382003884867,TRUE,0,248.516830022208,1509.46101189679,0.000263657346704287,0.000843551051331397,0.0190431566587261,55.7895163301259,NA
"gamma","shape_bajo",1000,"C_richardson",TRUE,TRUE,NA,0.121391860936764,TRUE,0,248.61121448949,1509.84714181823,6.76373562372065e-06,4.60339806763694e-06,0.0190372122512653,55.7824375123987,NA
"gamma","shape_bajo",10000,"A",TRUE,TRUE,NA,0.121929140072417,TRUE,0,2470.7775767096,14913.1243283327,1.15790520509313e-07,4.72353514455718e-07,0.00587190913929037,18.025096420983,NA
"gamma","shape_bajo",10000,"B",TRUE,TRUE,NA,0.121940546799869,TRUE,0,2471.08090838839,14913.4449874548,0.000355193113610407,0.000660892232321926,0.00587141326034736,18.0243417277248,NA
"gamma","shape_bajo",10000,"C_richardson",TRUE,TRUE,NA,0.121928969344076,TRUE,0,2470.76553476523,14913.0791745196,3.67507972709206e-06,2.0875378835551e-05,0.00587193163350338,18.0251267974288,NA
"gamma","shape_alto",100,"A",TRUE,TRUE,NA,0.0132042268654139,TRUE,0,25.5339470492374,1882.35546505088,5.36593204162585e-08,6.7180677175225e-08,1.28957565826615,14.489151521824,NA
"gamma","shape_alto",100,"B",TRUE,TRUE,NA,0.0132055757989624,TRUE,0,25.5366303370249,1882.35780677598,1.89648966501813e-06,8.1317045539834e-07,1.28950767766552,14.4884122903126,NA
"gamma","shape_alto",100,"C_richardson",TRUE,TRUE,NA,0.0132042289378994,TRUE,0,25.5339511066673,1882.35544412097,6.57983345781707e-08,1.45102999276883e-08,1.2895755484062,14.4891504814945,NA
"gamma","shape_alto",1000,"A",TRUE,TRUE,NA,0.014229099983926,TRUE,0,255.743347876142,17458.0137980552,4.89621323121618e-08,6.86847140189088e-08,0.377256612324594,4.70200392619675,NA
"gamma","shape_alto",1000,"B",TRUE,TRUE,NA,0.0142280206015984,TRUE,0,255.723655137935,17458.0100307443,3.55768817016346e-07,1.75253131935502e-05,0.377271108706078,4.70218024729576,NA
"gamma","shape_alto",1000,"C_richardson",TRUE,TRUE,NA,0.0142290730707116,TRUE,0,255.742849312411,17458.0130779393,9.40125357799957e-08,2.23015891028604e-07,0.377256978065347,4.70200840688709,NA
"gamma","shape_alto",10000,"A",TRUE,TRUE,NA,0.0138319685123989,TRUE,0,2555.86404626322,179630.950640535,5.14469188440672e-08,8.87876335065476e-08,0.122871587842062,1.45382054293467,NA
"gamma","shape_alto",10000,"B",TRUE,TRUE,NA,0.0138374361427755,TRUE,0,2556.89451992168,179631.27320528,6.78766652607331e-06,3.537567806607e-05,0.122846784701645,1.45353597132576,NA
"gamma","shape_alto",10000,"C_richardson",TRUE,TRUE,NA,0.0138320205385289,TRUE,0,2555.87405507199,179630.960747507,1.28220183596334e-07,2.82442999241862e-07,0.122871344267704,1.45381780632522,NA
